State,Number of Deaths1,"Crude Death Rate (SE)1 Per Million	","Adjusted Death Rate (SE)1,2 Per Million"
Alabama,67,13.3 (1.62),11.6 (1.46)
Alaska,11,—3 (4.53),—3 (4.87)
Arizona,89,12.2 (1.30),10.3 (1.12)
Arkansas,37,12.2 (2.01),11.2 (1.90)
California,352,9.0 (0.48),8.2 (0.44)
Colorado,49,8.4 (1.20),7.6 (1.11)
Connecticut,35,9.7 (1.64),8.5 (1.50)
Delaware,15,—3 (3.86),—3 (3.73)
District of Columbia,14,—3 (5.58),—3 (5.64)
Florida,204,9.4 (0.66),8.0 (0.59)
Georgia,107,9.9 (0.96),9.4 (0.93)
Hawaii,24,16.7 (3.40),13.7 (2.91)
Idaho,16,—3 (2.10),—3 (1.99)
Illinois,124,9.8 (0.88),9.1 (0.83)
Indiana,70,10.3 (1.23),9.4 (1.15)
Iowa,39,12.2 (1.96),11.1 (1.84)
Kansas,37,12.6 (2.07),12.5 (2.10)
Kentucky,22,4.9 (1.04),4.0 (0.89)
Louisiana,45,9.7 (1.45),9.3 (1.42)
Maine,—4,—4,—4
Maryland,79,12.8 (1.44),11.2 (1.29)
Massachusetts,78,11.2 (1.26),9.8 (1.15)
Michigan,94,9.4 (0.96),8.6 (0.92)
Minnesota,58,10.2 (1.33),8.5 (1.15)
Mississippi,45,15.3 (2.27),15.3 (2.32)
Missouri,75,12.2 (1.40),11.5 (1.36)
Montana,—4,—4,—4
Nebraska,25,12.7 (2.55),11.4 (2.33)
Nevada,28,8.9 (1.68),8.3 (1.61)
New Hampshire,11,—3 (2.39),—3 (2.47)
New Jersey,119,12.8 (1.18),11.8 (1.11)
New Mexico,26,12.3 (2.41),10.3 (2.07)
New York,248,12.5 (0.79),10.6 (0.69)
North Carolina,108,10.2 (0.98),8.9 (0.88)
North Dakota,10,—3 (4.08),—3 (4.52)
Ohio,124,10.5 (0.95),9.8 (0.91)
Oklahoma,47,11.8 (1.72),11.0 (1.64)
Oregon,67,15.8 (1.93),13.0 (1.64)
Pennsylvania,143,11.0 (0.92),9.3 (0.82)
Rhode Island,—4,—4,—4
South Carolina,71,13.7 (1.62),12.3 (1.52)
South Dakota,—4,—4,—4
Tennessee,83,11.9 (1.31),11.3 (1.27)
Texas,295,10.0 (0.58),10.1 (0.60)
Utah,24,7.2 (1.47),8.6 (1.78)
Vermont,—4,—4,—4
Virginia,85,9.8 (1.07),9.1 (1.01)
Washington,85,11.0 (1.19),10.1 (1.11)
West Virginia,16,—3 (2.24),—3 (1.98)
Wisconsin,67,11.4 (1.39),10.1 (1.26)
Wyoming,10,—3 (5.46),—3 (4.75)
Total,"3,517",10.6 (0.18),9.5 (0.16)
