plot,fire,year,spec,dbh,ba,ht,bchar,torpt,mort,deadatfire,redatfire,killfire,killbeet,gattack,noattack,genus
CED002,Cedar,2017,CALDEC,73,0.41859,24.6,4.5,0,4,0,0,1,0,0,0,Calocedrus
CED002,Cedar,2017,QUEKEL,25.5,0.05108,17.2,1.4,0,4,0,0,1,0,0,0,Quercus
CED002,Cedar,2017,QUEKEL,29.7,0.06929,12.8,0.8,0,4,0,0,1,0,0,0,Quercus
CED002,Cedar,2017,CALDEC,35.4,0.09844,13.8,2.2,0,4,0,0,1,0,0,0,Calocedrus
CED002,Cedar,2017,QUEKEL,32.1,0.08094,16,0.5,0,4,0,0,1,0,0,0,Quercus
CED002,Cedar,2017,CALDEC,38.5,0.11643,18.9,0.6,0,4,0,0,1,0,0,0,Calocedrus
CED002,Cedar,2017,ABICON,29,0.06606,13.8,2.4,0,2,1,1,0,0,0,0,Abies
CED002,Cedar,2017,ABICON,30.7,0.07403,18.9,2.2,0,2,1,1,0,0,0,0,Abies
CED002,Cedar,2017,PINLAM,34.7,0.09458,19.6,1.2,0,7,0,0,0,0,0,1,Pinus
CED002,Cedar,2017,QUEKEL,30.3,0.07212,11.4,0.3,0,7,0,0,0,0,0,1,Quercus
CED002,Cedar,2017,ABICON,32.5,0.08297,19.1,1.6,0,2,1,1,0,0,0,0,Abies
CED002,Cedar,2017,ABICON,48.9,0.18783,25.9,1.25,0,2,1,1,0,0,0,0,Abies
CED002,Cedar,2017,ABICON,32.8,0.08451,17.9,1,0,2,1,1,0,0,0,0,Abies
CED002,Cedar,2017,ABICON,27.6,0.05984,14.2,1.2,0,7,0,0,0,0,0,1,Abies
CED002,Cedar,2017,ABICON,32.4,0.08246,20.2,0.6,0,7,0,0,0,0,0,1,Abies
CED003,Cedar,2017,ABICON,37.6,0.11105,14,14,100,2,1,1,0,0,0,0,Abies
CED003,Cedar,2017,CALDEC,40.9,0.1314,15.4,15.4,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,QUEKEL,63,0.31176,19.7,19.7,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,QUEKEL,43.5,0.14864,17.3,17.3,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,ABICON,31.9,0.07993,13.2,13.2,100,2,1,1,0,0,0,0,Abies
CED003,Cedar,2017,CALDEC,72.7,0.41516,26.4,26.4,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,CALDEC,26.5,0.05516,10.3,10.3,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,QUEKEL,42.9,0.14456,17.6,17.6,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,QUEKEL,31.4,0.07745,24.4,24.4,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,ABICON,30.2,0.07164,12.7,12.7,100,4,0,0,1,0,0,0,Abies
CED003,Cedar,2017,QUEKEL,29.3,0.06743,15,15,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,CALDEC,35.7,0.10011,11.2,11.2,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,QUEKEL,50.5,0.20032,19.1,19.1,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,CALDEC,55.1,0.23848,19.2,19.2,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,QUEKEL,51.6,0.20914,20,20,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,CALDEC,29.1,0.06652,12.3,12.3,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,CALDEC,25.9,0.05269,13.1,13.1,100,4,0,0,1,0,0,0,Calocedrus
CED003,Cedar,2017,QUEKEL,48,0.18098,23.8,23.8,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,QUEKEL,33.6,0.08868,12.7,12.7,100,4,0,0,1,0,0,0,Quercus
CED003,Cedar,2017,QUEKEL,35,0.09622,16.5,16.5,100,4,0,0,1,0,0,0,Quercus
CED004,Cedar,2017,CALDEC,58.5,0.26882,12,3,0,4,0,0,1,0,0,0,Calocedrus
CED004,Cedar,2017,CALDEC,29.8,0.06976,16.3,4.3,0,4,0,0,1,0,0,0,Calocedrus
CED004,Cedar,2017,ABICON,57.2,0.257,41.6,4.5,0,4,0,0,1,0,0,0,Abies
CED004,Cedar,2017,ABICON,31.3,0.07695,20.3,3.3,0,2,1,1,0,0,0,0,Abies
CED004,Cedar,2017,PINPON,76.6,0.4609,38.2,3.6,0,6,0,0,0,0,1,0,Pinus
CED004,Cedar,2017,PINPON,113.6,1.01368,53.5,4.6,0,7,0,0,0,0,0,1,Pinus
CED004,Cedar,2017,CALDEC,48.3,0.18325,27.9,3.5,0,7,0,0,0,0,0,1,Calocedrus
CED004,Cedar,2017,ABICON,62.8,0.30979,39.1,4.7,0,7,0,0,0,0,0,1,Abies
CED004,Cedar,2017,ABICON,75.2,0.4442,44.5,3.8,0,7,0,0,0,0,0,1,Abies
CED004,Cedar,2017,ABICON,64,0.32174,40.7,6.2,0,7,0,0,0,0,0,1,Abies
CED004,Cedar,2017,CALDEC,83.2,0.54374,29.3,2.5,0,7,0,0,0,0,0,1,Calocedrus
CED004,Cedar,2017,CALDEC,105.6,0.87594,47.9,1.4,0,7,0,0,0,0,0,1,Calocedrus
CED005,Cedar,2017,QUEKEL,29.8,0.06976,14.1,3.8,0,4,0,0,1,0,0,0,Quercus
CED005,Cedar,2017,ABICON,31.9,0.07993,12.5,6.1,0,4,0,0,1,0,0,0,Abies
CED005,Cedar,2017,QUEKEL,28.2,0.06247,11.2,1.5,0,4,0,0,1,0,0,0,Quercus
CED005,Cedar,2017,QUECHR,26.1,0.05351,10.7,2.9,0,4,0,0,1,0,0,0,Quercus
CED005,Cedar,2017,QUECHR,25.3,0.05028,11.3,3.8,0,4,0,0,1,0,0,0,Quercus
CED005,Cedar,2017,ABICON,40.7,0.13012,18.7,5,0,2,1,1,0,0,0,0,Abies
CED005,Cedar,2017,ABICON,26.3,0.05433,12.7,6.4,0,2,1,1,0,0,0,0,Abies
CED005,Cedar,2017,ABICON,27.2,0.05811,13.6,2.2,0,2,1,1,0,0,0,0,Abies
CED005,Cedar,2017,PINLAM,30.3,0.07212,17.2,7.4,0,2,1,1,0,0,0,0,Pinus
CED005,Cedar,2017,ABICON,39.3,0.12132,13.4,13.4,0,2,1,1,0,0,0,0,Abies
CED005,Cedar,2017,ABICON,25.7,0.05188,10.9,10.9,0,2,1,1,0,0,0,0,Abies
CED007,Cedar,2017,QUEKEL,34.1,0.09134,18,0.4,0,4,0,0,1,0,0,0,Quercus
CED007,Cedar,2017,CALDEC,25.3,0.05028,12.2,2.3,0,4,0,0,1,0,0,0,Calocedrus
CED007,Cedar,2017,CALDEC,71.2,0.3982,26.3,2.2,0,4,0,0,1,0,0,0,Calocedrus
CED007,Cedar,2017,CALDEC,34.3,0.09241,18.9,1.6,0,4,0,0,1,0,0,0,Calocedrus
CED007,Cedar,2017,ABICON,54.5,0.23331,23.1,2.1,0,4,0,0,1,0,0,0,Abies
CED007,Cedar,2017,CALDEC,31.3,0.07695,9.4,4.3,0,4,0,0,1,0,0,0,Calocedrus
CED007,Cedar,2017,CALDEC,45.2,0.16048,17.4,4,0,4,0,0,1,0,0,0,Calocedrus
CED007,Cedar,2017,QUEKEL,34.5,0.09349,13.6,5.3,0,3,1,1,0,0,0,0,Quercus
CED007,Cedar,2017,CALDEC,47.1,0.17426,25.5,1.2,0,7,0,0,0,0,0,1,Calocedrus
CED007,Cedar,2017,CALDEC,49.8,0.19481,23,3.2,0,7,0,0,0,0,0,1,Calocedrus
CED007,Cedar,2017,CALDEC,37.9,0.11283,18.4,4.5,0,7,0,0,0,0,0,1,Calocedrus
CED007,Cedar,2017,ABICON,50,0.19638,24.4,2,0,2,1,1,0,0,0,0,Abies
CED008,Cedar,2017,QUEKEL,25.8,0.05229,15.3,5,0,4,0,0,1,0,0,0,Quercus
CED008,Cedar,2017,QUEKEL,26.4,0.05475,17.6,1,0,4,0,0,1,0,0,0,Quercus
CED008,Cedar,2017,QUEKEL,40.9,0.1314,19.2,1.5,0,4,0,0,1,0,0,0,Quercus
CED008,Cedar,2017,CALDEC,30.4,0.07259,11.3,6.5,0,4,0,0,1,0,0,0,Calocedrus
CED008,Cedar,2017,ABICON,80.4,0.50776,35.9,11.9,0,4,0,0,1,0,0,0,Abies
CED008,Cedar,2017,ABICON,71.2,0.3982,33.9,9.6,0,2,1,1,0,0,0,0,Abies
CED008,Cedar,2017,CALDEC,51.1,0.20511,22.2,5.6,0,7,0,0,0,0,0,1,Calocedrus
CED009,Cedar,2017,CALDEC,25.5,0.05108,15.4,3.1,0,4,0,0,1,0,0,0,Calocedrus
CED009,Cedar,2017,CALDEC,37.4,0.10987,15.6,3.2,0,4,0,0,1,0,0,0,Calocedrus
CED009,Cedar,2017,QUECHR,26.6,0.05558,11.6,0.07,0,4,0,0,1,0,0,0,Quercus
CED009,Cedar,2017,QUEKEL,33.8,0.08974,17.2,0.6,0,7,0,0,0,0,0,1,Quercus
CED009,Cedar,2017,QUECHR,72.8,0.4163,15.8,2.8,0,7,0,0,0,0,0,1,Quercus
CED009,Cedar,2017,ABICON,50,0.19638,23.6,4.2,0,6,0,0,0,0,1,0,Abies
CED009,Cedar,2017,ABICON,56.6,0.25164,26,4.4,0,6,0,0,0,0,1,0,Abies
CED009,Cedar,2017,ABICON,35.5,0.09899,21.8,3.2,0,6,0,0,0,0,1,0,Abies
CED009,Cedar,2017,ABICON,47.5,0.17723,23.1,3.8,0,6,0,0,0,0,1,0,Abies
CED009,Cedar,2017,CALDEC,28.9,0.06561,11.3,4.2,0,7,0,0,0,0,0,1,Calocedrus
CED009,Cedar,2017,ABICON,33.6,0.08868,21.6,5,0,7,0,0,0,0,0,1,Abies
CED009,Cedar,2017,CALDEC,40.8,0.13076,19.8,4.2,0,7,0,0,0,0,0,1,Calocedrus
CED009,Cedar,2017,CALDEC,28.7,0.0647,13,1.6,0,7,0,0,0,0,0,1,Calocedrus
CED009,Cedar,2017,CALDEC,52.8,0.21898,24.7,4.5,0,7,0,0,0,0,0,1,Calocedrus
